"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5054","@web Client Page Object Model-shoppingcart Application","","2026-03-06","passed","2026-03-06","","ClientAppObject.spec.js","",""
"","4362","@web Client App Login","","2026-03-06","passed","2026-03-06","","ClientApp.spec.js","",""
